Year,Month,Date,Item A,Item B
2002,1,1/1/2002,1954,2585
2002,2,2/1/2002,2302,3368
2002,3,3/1/2002,3054,3210
2002,4,4/1/2002,2414,3111
2002,5,5/1/2002,2226,3756
2002,6,6/1/2002,2725,4216
2002,7,7/1/2002,2589,5225
2002,8,8/1/2002,3470,4426
2002,9,9/1/2002,2400,3932
2002,10,10/1/2002,3180,3816
2002,11,11/1/2002,4009,3661
2002,12,12/1/2002,3924,3795
2003,1,1/1/2003,2072,2285
2003,2,2/1/2003,2434,2934
2003,3,3/1/2003,2956,2985
2003,4,4/1/2003,2828,3646
2003,5,5/1/2003,2687,4198
2003,6,6/1/2003,2629,4935
2003,7,7/1/2003,3150,5618
2003,8,8/1/2003,4119,5454
2003,9,9/1/2003,3030,3624
2003,10,10/1/2003,3055,2898
2003,11,11/1/2003,3821,3802
2003,12,12/1/2003,4001,2369
2004,1,1/1/2004,2529,2369
2004,2,2/1/2004,2472,2511
2004,3,3/1/2004,3134,3079
2004,4,4/1/2004,2789,3728
2004,5,5/1/2004,2758,4151
2004,6,6/1/2004,2993,4326
2004,7,7/1/2004,3282,5054
2004,8,8/1/2004,3437,5138
2004,9,9/1/2004,2804,3310
2004,10,10/1/2004,3076,3508
2004,11,11/1/2004,3782,3790
2004,12,12/1/2004,3889,3446
2005,1,1/1/2005,2271,2127
2005,2,2/1/2005,2452,2523
2005,3,3/1/2005,3084,3017
2005,4,4/1/2005,2522,3265
2005,5,5/1/2005,2769,3822
2005,6,6/1/2005,3438,4027
2005,7,7/1/2005,2839,4420
2005,8,8/1/2005,3746,5255
2005,9,9/1/2005,2632,4009
2005,10,10/1/2005,2851,3074
2005,11,11/1/2005,3871,3465
2005,12,12/1/2005,3618,3718
2006,1,1/1/2006,2389,1954
2006,2,2/1/2006,2344,2604
2006,3,3/1/2006,2678,3626
2006,4,4/1/2006,2492,2836
2006,5,5/1/2006,2858,4042
2006,6,6/1/2006,2246,3584
2006,7,7/1/2006,2800,4225
2006,8,8/1/2006,3869,4523
2006,9,9/1/2006,3007,2892
2006,10,10/1/2006,3023,2876
2006,11,11/1/2006,3907,3420
2006,12,12/1/2006,4209,3159
2007,1,1/1/2007,2353,2101
2007,2,2/1/2007,2570,2181
2007,3,3/1/2007,2903,2724
2007,4,4/1/2007,2910,2954
2007,5,5/1/2007,3782,4092
2007,6,6/1/2007,2759,3470
2007,7,7/1/2007,2931,3990
2007,8,8/1/2007,3641,4239
2007,9,9/1/2007,2794,2855
2007,10,10/1/2007,3070,2897
2007,11,11/1/2007,3576,3433
2007,12,12/1/2007,4106,3307
2008,1,1/1/2008,2452,1914
2008,2,2/1/2008,2206,2214
2008,3,3/1/2008,2488,2320
2008,4,4/1/2008,2416,2714
2008,5,5/1/2008,2534,3633
2008,6,6/1/2008,2521,3295
2008,7,7/1/2008,3093,4377
2008,8,8/1/2008,3903,4442
2008,9,9/1/2008,2907,2774
2008,10,10/1/2008,3025,2840
2008,11,11/1/2008,3812,2828
2008,12,12/1/2008,4209,3758
2009,1,1/1/2009,2138,1610
2009,2,2/1/2009,2419,1968
2009,3,3/1/2009,2622,2248
2009,4,4/1/2009,2912,3262
2009,5,5/1/2009,2708,3164
2009,6,6/1/2009,2798,2972
2009,7,7/1/2009,3254,4041
2009,8,8/1/2009,2895,3402
2009,9,9/1/2009,3263,2898
2009,10,10/1/2009,3736,2555
2009,11,11/1/2009,4077,3056
2009,12,12/1/2009,4097,3717
2010,1,1/1/2010,2175,1755
2010,2,2/1/2010,3138,2193
2010,3,3/1/2010,2823,2198
2010,4,4/1/2010,2498,2777
2010,5,5/1/2010,2822,3076
2010,6,6/1/2010,2738,3389
2010,7,7/1/2010,4137,4231
2010,8,8/1/2010,3515,3118
2010,9,9/1/2010,3785,2524
2010,10,10/1/2010,3632,2280
2010,11,11/1/2010,4504,2862
2010,12,12/1/2010,4451,3502
2011,1,1/1/2011,2550,1558
2011,2,2/1/2011,2867,1940
2011,3,3/1/2011,3458,2226
2011,4,4/1/2011,2961,2676
2011,5,5/1/2011,3163,3145
2011,6,6/1/2011,2880,3224
2011,7,7/1/2011,3331,4117
2011,8,8/1/2011,3062,3446
2011,9,9/1/2011,3534,2482
2011,10,10/1/2011,3622,2349
2011,11,11/1/2011,4464,2986
2011,12,12/1/2011,5411,3163
2012,1,1/1/2012,2564,1651
2012,2,2/1/2012,2820,1725
2012,3,3/1/2012,3508,2622
2012,4,4/1/2012,3088,2316
2012,5,5/1/2012,3299,2976
2012,6,6/1/2012,2939,3263
2012,7,7/1/2012,3320,3951
2012,8,8/1/2012,3418,2917
2012,9,9/1/2012,3604,2380
2012,10,10/1/2012,3495,2458
2012,11,11/1/2012,4163,2883
2012,12,12/1/2012,4882,2579
2013,1,1/1/2013,2211,1330
2013,2,2/1/2013,3260,1686
2013,3,3/1/2013,2992,2457
2013,4,4/1/2013,2425,2514
2013,5,5/1/2013,2707,2834
2013,6,6/1/2013,3244,2757
2013,7,7/1/2013,3965,3425
2013,8,8/1/2013,3315,3006
2013,9,9/1/2013,3333,2369
2013,10,10/1/2013,3583,2017
2013,11,11/1/2013,4021,2507
2013,12,12/1/2013,4904,3168
2014,1,1/1/2014,2252,1545
2014,2,2/1/2014,2952,1643
2014,3,3/1/2014,3573,2112
2014,4,4/1/2014,3048,2415
2014,5,5/1/2014,3059,2862
2014,6,6/1/2014,2731,2822
2014,7,7/1/2014,3563,3260
2014,8,8/1/2014,3092,2606
2014,9,9/1/2014,3478,2264
2014,10,10/1/2014,3478,2250
2014,11,11/1/2014,4308,2545
2014,12,12/1/2014,5029,2856
2015,1,1/1/2015,2075,1208
2015,2,2/1/2015,3264,1412
2015,3,3/1/2015,3308,1964
2015,4,4/1/2015,3688,2018
2015,5,5/1/2015,3136,2329
2015,6,6/1/2015,2824,2660
2015,7,7/1/2015,3644,2923
2015,8,8/1/2015,4694,2626
2015,9,9/1/2015,2914,2132
2015,10,10/1/2015,3686,1772
2015,11,11/1/2015,4358,2526
2015,12,12/1/2015,5587,2755
2016,1,1/1/2016,2265,1154
2016,2,2/1/2016,3685,1568
2016,3,3/1/2016,3754,1965
2016,4,4/1/2016,3708,2659
2016,5,5/1/2016,3210,2354
2016,6,6/1/2016,3517,2592
2016,7,7/1/2016,3905,2714
2016,8,8/1/2016,3670,2294
2016,9,9/1/2016,4221,2416
2016,10,10/1/2016,4404,2016
2016,11,11/1/2016,5086,2799
2016,12,12/1/2016,5725,2467
2017,1,1/1/2017,2367,1153
2017,2,2/1/2017,3819,1482
2017,3,3/1/2017,4067,1818
2017,4,4/1/2017,4022,2262
2017,5,5/1/2017,3937,2612
2017,6,6/1/2017,4365,2967
2017,7,7/1/2017,4290,3179
